,headline,url,date
73,Biden dispatches Democratic senator to Ethiopia amid Tigray crisis,https://www.cnn.com/2021/03/18/politics/chris-coons-tigray/index.html,2021-03-18
74,Blinken: Acts of 'ethnic cleansing' committed in Western Tigray,https://www.cnn.com/2021/03/10/politics/blinken-tigray-ethnic-cleansing/index.html,2021-03-10
75,"5 things to know for March 5: Coronavirus, stimulus, immigration, Hong Kong, Ethiopia",https://www.cnn.com/2021/03/05/us/five-things-march-5-trnd/index.html,2021-03-05
76,UN rights chief says war crimes may have been committed in Ethiopia after CNN reveals Tigray massacre,https://www.cnn.com/2021/03/04/europe/ethiopia-tigray-un-independent-probe-war-crimes-intl/index.html,2021-03-04
77,UN Security Council to discuss Ethiopia conflict following CNN investigation into Tigray massacre,https://www.cnn.com/2021/03/03/africa/un-security-council-ethiopia-tigray-intl/index.html,2021-03-03
78,CNN EXCLUSIVE: Leader of Tigray's forces accuses Ethiopian and Eritrean governments of genocide,https://www.cnn.com/2021/03/01/africa/ethiopia-mfa-us-tigray-troops-intl/index.html,2021-03-01
79,US calls for withdrawal of Eritrean forces in Ethiopia following investigation into massacre,https://www.cnn.com/2021/02/28/africa/us-ethiopia-eritrea-troops-intl/index.html,2021-02-28
80,At least 5 dead in Sudan border attack as tensions with Ethiopia escalate,https://www.cnn.com/2021/01/14/africa/sudan-border-attacks-intl/index.html,2021-01-14
81,Ethiopian war criminals able to leave Italian embassy after nearly 30 years,https://www.cnn.com/2020/12/30/africa/ethiopia-italian-embassy-intl/index.html,2020-12-30
82,"At least 50 journalists were killed in 2020, most outside countries at war",https://www.cnn.com/2020/12/29/world/reporters-without-borders-journalists-killed-intl/index.html,2020-12-29
83,"More than 100 people killed in dawn attack on Ethiopian village, rights group says",https://www.cnn.com/2020/12/24/africa/ethiopia-gunmen-attack-intl-hnk/index.html,2020-12-24
84,Just let journalists do our jobs,https://www.cnn.com/2020/12/21/opinions/press-freedom-world-us-journalists-elbagir/index.html,2020-12-21
85,ICRC: We can't wait for the guns to fall silent in Ethiopia to start acting,https://www.cnn.com/videos/world/2020/12/17/anderson-intvw-ctw-patrick-youssef-ethiopia.cnn,2020-12-17
86,'They left us for dead.' Tigray refugees tell of horrors after Ethiopian troops vowed they'd be safe,https://www.cnn.com/2020/12/08/africa/ethiopia-tigray-refugees-sudan-border-intl/index.html,2020-12-08
87,Forces from Ethiopia's Tigray region say Eritrean troops are part of the conflict and the war is far from over,https://www.cnn.com/2020/12/04/africa/ethiopia-war-tplf-exclusive-intl/index.html,2020-12-04
88,"Capital of Ethiopia's Tigray region under control of Ethiopian forces, says PM after intense bombardment",https://www.cnn.com/2020/11/28/africa/ethiopia-tigray-bombardment-intl/index.html,2020-11-28
89,"At least 600 civilians were killed in northern Ethiopia massacre, rights commission says",https://www.cnn.com/2020/11/24/africa/tigray-vow-fight-ethiopia-intl/index.html,2020-11-24
90,"Ethiopia enters 'final phase' of operation in Tigray region, says Prime Minister",https://www.cnn.com/2020/11/26/africa/ethiopia-final-phase-tigray-intl/index.html,2020-11-26
91,"5 things to know for November 23: Coronavirus, election, economy, Venezuela, Ethiopia",https://www.cnn.com/2020/11/23/us/five-things-november-23-trnd/index.html,2020-11-23
92,These refugees fled a massacre in Ethiopia's Tigray region. They join tens of thousands making the journey to Sudan,https://www.cnn.com/2020/11/22/africa/witness-massacre-refugees-ethiopia-intl/index.html,2020-11-22
93,"Ethiopian troops are advancing on Tigray's capital, says government spokesman",https://www.cnn.com/2020/11/18/africa/ethiopia-federal-troops-tigray-capital-intl/index.html,2020-11-18
94,"5 things to know for November 18: Covid-19, election, stimulus, US troops, Ethiopia",https://www.cnn.com/2020/11/18/us/five-things-november-18-trnd/index.html,2020-11-18
